Model,Brand,Product Category,Description,Dealer Ex GST, RRP Inc. GST 
CA/26 BK,QuikLok,Cables Bulk - Speaker,CA26 (2 x 6.00 mm²) - diameter 12.2mm - Black - 100m reel,1067.65,"1,754.00"
CA/26 BK,QuikLok,Cables Bulk - Speaker,CA26 (2 x 6.00 mm²) - diameter 12.2mm - Black - 100m reel,1067.65,"1,754.00"
CA/26 BK,QuikLok,Cables Bulk - Speaker,CA26 (2 x 6.00 mm²) - diameter 12.2mm - Black - 100m reel,1067.65,"1,754.00"
CA/26 BK,QuikLok,Cables Bulk - Speaker,CA26 (2 x 6.00 mm²) - diameter 12.2mm - Black - 100m reel,1067.65,"1,754.00"
CA/26 BK,QuikLok,Cables Bulk - Speaker,CA26 (2 x 6.00 mm²) - diameter 12.2mm - Black - 100m reel,1067.65,"1,754.00"
CA/26 BK,QuikLok,Cables Bulk - Speaker,CA26 (2 x 6.00 mm²) - diameter 12.2mm - Black - 100m reel,1067.65,"1,754.00"
CA/26 BK,QuikLok,Cables Bulk - Speaker,CA26 (2 x 6.00 mm²) - diameter 12.2mm - Black - 100m reel,1067.65,"1,754.00"
CA/26 BK,QuikLok,Cables Bulk - Speaker,CA26 (2 x 6.00 mm²) - diameter 12.2mm - Black - 100m reel,1067.65,"1,754.00"
CA/425 BK,QuikLok,Cables Bulk - Speaker,CA425 (4 x 2.50 mm²) - diameter 11.0mm - Black - 100m reel,780.96,"1,283.00"
CA/425 BK,QuikLok,Cables Bulk - Speaker,CA425 (4 x 2.50 mm²) - diameter 11.0mm - Black - 100m reel,780.96,"1,283.00"
CA/425 BK,QuikLok,Cables Bulk - Speaker,CA425 (4 x 2.50 mm²) - diameter 11.0mm - Black - 100m reel,780.96,"1,283.00"
CA/425 BK,QuikLok,Cables Bulk - Speaker,CA425 (4 x 2.50 mm²) - diameter 11.0mm - Black - 100m reel,780.96,"1,283.00"
CA/425 BK,QuikLok,Cables Bulk - Speaker,CA425 (4 x 2.50 mm²) - diameter 11.0mm - Black - 100m reel,780.96,"1,283.00"
CA/425 BK,QuikLok,Cables Bulk - Speaker,CA425 (4 x 2.50 mm²) - diameter 11.0mm - Black - 100m reel,780.96,"1,283.00"
CA/425 BK,QuikLok,Cables Bulk - Speaker,CA425 (4 x 2.50 mm²) - diameter 11.0mm - Black - 100m reel,780.96,"1,283.00"
CA/425 BK,QuikLok,Cables Bulk - Speaker,CA425 (4 x 2.50 mm²) - diameter 11.0mm - Black - 100m reel,780.96,"1,283.00"
CA/425 BK,QuikLok,Cables Bulk - Speaker,CA425 (4 x 2.50 mm²) - diameter 11.0mm - Black - 100m reel,780.96,"1,283.00"
CA/425 BK,QuikLok,Cables Bulk - Speaker,CA425 (4 x 2.50 mm²) - diameter 11.0mm - Black - 100m reel,780.96,"1,283.00"
CA/425 BK,QuikLok,Cables Bulk - Speaker,CA425 (4 x 2.50 mm²) - diameter 11.0mm - Black - 100m reel,780.96,"1,283.00"
CA/425 BK,QuikLok,Cables Bulk - Speaker,CA425 (4 x 2.50 mm²) - diameter 11.0mm - Black - 100m reel,780.96,"1,283.00"
CA/44 BK,QuikLok,Cables Bulk - Speaker,CA44 (4 x 4.00 mm²) - diameter 13.3mm - Black - 100m reel,1281.3,"2,105.00"
CA/44 BK,QuikLok,Cables Bulk - Speaker,CA44 (4 x 4.00 mm²) - diameter 13.3mm - Black - 100m reel,1281.3,"2,105.00"
CA/44 BK,QuikLok,Cables Bulk - Speaker,CA44 (4 x 4.00 mm²) - diameter 13.3mm - Black - 100m reel,1281.3,"2,105.00"
CA/44 BK,QuikLok,Cables Bulk - Speaker,CA44 (4 x 4.00 mm²) - diameter 13.3mm - Black - 100m reel,1281.3,"2,105.00"
CA/44 BK,QuikLok,Cables Bulk - Speaker,CA44 (4 x 4.00 mm²) - diameter 13.3mm - Black - 100m reel,1281.3,"2,105.00"
CA/44 BK,QuikLok,Cables Bulk - Speaker,CA44 (4 x 4.00 mm²) - diameter 13.3mm - Black - 100m reel,1281.3,"2,105.00"
CA/44 BK,QuikLok,Cables Bulk - Speaker,CA44 (4 x 4.00 mm²) - diameter 13.3mm - Black - 100m reel,1281.3,"2,105.00"
CA/44 BK,QuikLok,Cables Bulk - Speaker,CA44 (4 x 4.00 mm²) - diameter 13.3mm - Black - 100m reel,1281.3,"2,105.00"
CA/44 BK,QuikLok,Cables Bulk - Speaker,CA44 (4 x 4.00 mm²) - diameter 13.3mm - Black - 100m reel,1281.3,"2,105.00"
CA/44 BK,QuikLok,Cables Bulk - Speaker,CA44 (4 x 4.00 mm²) - diameter 13.3mm - Black - 100m reel,1281.3,"2,105.00"
CA/44 BK,QuikLok,Cables Bulk - Speaker,CA44 (4 x 4.00 mm²) - diameter 13.3mm - Black - 100m reel,1281.3,"2,105.00"
CA/44 BK,QuikLok,Cables Bulk - Speaker,CA44 (4 x 4.00 mm²) - diameter 13.3mm - Black - 100m reel,1281.3,"2,105.00"
CA/806 BK,QuikLok,Cables Bulk - Speaker,CA806 (6 x 2.50 mm²) - diameter 13.0mm - Black - 100m reel,1440.17,"2,366.00"
CA/806 BK,QuikLok,Cables Bulk - Speaker,CA806 (6 x 2.50 mm²) - diameter 13.0mm - Black - 100m reel,1440.17,"2,366.00"
CA/806 BK,QuikLok,Cables Bulk - Speaker,CA806 (6 x 2.50 mm²) - diameter 13.0mm - Black - 100m reel,1440.17,"2,366.00"
CA/806 BK,QuikLok,Cables Bulk - Speaker,CA806 (6 x 2.50 mm²) - diameter 13.0mm - Black - 100m reel,1440.17,"2,366.00"
CA/806 BK,QuikLok,Cables Bulk - Speaker,CA806 (6 x 2.50 mm²) - diameter 13.0mm - Black - 100m reel,1440.17,"2,366.00"
CA/806 BK,QuikLok,Cables Bulk - Speaker,CA806 (6 x 2.50 mm²) - diameter 13.0mm - Black - 100m reel,1440.17,"2,366.00"
CA/806 BK,QuikLok,Cables Bulk - Speaker,CA806 (6 x 2.50 mm²) - diameter 13.0mm - Black - 100m reel,1440.17,"2,366.00"
CA/806 BK,QuikLok,Cables Bulk - Speaker,CA806 (6 x 2.50 mm²) - diameter 13.0mm - Black - 100m reel,1440.17,"2,366.00"
CA/806 BK,QuikLok,Cables Bulk - Speaker,CA806 (6 x 2.50 mm²) - diameter 13.0mm - Black - 100m reel,1440.17,"2,366.00"
CA/806 BK,QuikLok,Cables Bulk - Speaker,CA806 (6 x 2.50 mm²) - diameter 13.0mm - Black - 100m reel,1440.17,"2,366.00"
CA/806 BK,QuikLok,Cables Bulk - Speaker,CA806 (6 x 2.50 mm²) - diameter 13.0mm - Black - 100m reel,1440.17,"2,366.00"
CA/806 BK,QuikLok,Cables Bulk - Speaker,CA806 (6 x 2.50 mm²) - diameter 13.0mm - Black - 100m reel,1440.17,"2,366.00"
CA/809 BK,QuikLok,Cables Bulk - Speaker,CA809 (8 x 4.00 mm²) - diameter 18.4mm - Black - 100m reel,2006.26,"3,296.00"
CA/809 BK,QuikLok,Cables Bulk - Speaker,CA809 (8 x 4.00 mm²) - diameter 18.4mm - Black - 100m reel,2006.26,"3,296.00"
CA/82 BK,QuikLok,Cables Bulk - Speaker,CA82 (8 x 2.50 mm²) - diameter 13.6mm - Black - 100m reel,1715.91,"2,819.00"
CA/82 BK,QuikLok,Cables Bulk - Speaker,CA82 (8 x 2.50 mm²) - diameter 13.6mm - Black - 100m reel,1715.91,"2,819.00"
CA/836 BK,QuikLok,Cables Bulk - Power Signal,CA836 Mains/Audio Bulk Cable (2 x 0.25mm² audio - 3 x 1.50mm² mains cable) - Black - 100m reel,838.78,"1,378.00"
CA/836 BK,QuikLok,Cables Bulk - Power Signal,CA836 Mains/Audio Bulk Cable (2 x 0.25mm² audio - 3 x 1.50mm² mains cable) - Black - 100m reel,838.78,"1,378.00"
CA/896 BK,QuikLok,Cables Bulk - Power Signal,CA896 Mains/Audio Bulk Cable (2 x 0.25mm² audio - 3 x 2.50mm² mains cable) - Black - 100m reel,1049.39,"1,724.00"
CA/896 BK,QuikLok,Cables Bulk - Power Signal,CA896 Mains/Audio Bulk Cable (2 x 0.25mm² audio - 3 x 2.50mm² mains cable) - Black - 100m reel,1049.39,"1,724.00"
CM/995 BK,QuikLok,Cables Bulk - Microphone,CM995 Microphone cable. (2 x .22mm²) - diameter 6.3mm - Black -100m reel,209.39,344
CM/995 BK,QuikLok,Cables Bulk - Microphone,CM995 Microphone cable. (2 x .22mm²) - diameter 6.3mm - Black -100m reel,209.39,344
ETH/1004 BK,QuikLok,Cables Bulk - Ethernet,ETH1004BK Ethernet CAT5e Digital Shielded Cable (7 x 0.20mm²) - Black - 100m reel,418.17,687
ETH/1004 BK,QuikLok,Cables Bulk - Ethernet,ETH1004BK Ethernet CAT5e Digital Shielded Cable (7 x 0.20mm²) - Black - 100m reel,418.17,687
ETH/1007 BK,QuikLok,Cables Bulk - Ethernet,ETH1007BK Ethernet CAT6 Digital Shielded Cable (0.57mm diameter) - Black - 100m reel,493.65,811
ETH/1007 BK,QuikLok,Cables Bulk - Ethernet,ETH1007BK Ethernet CAT6 Digital Shielded Cable (0.57mm diameter) - Black - 100m reel,493.65,811
ETH/5-10,QuikLok,Cables - Ethernet,10M - Digital EtherCon assembled cable for LAN connections - Black,77.48,198
ETH/5-20,QuikLok,Cables - Ethernet,20M -Digital EtherCon assembled cable for LAN connections - Black,109.57,280
ETH/5-30,QuikLok,Cables - Ethernet,30M - Digital EtherCon assembled cable for LAN connections - Black,146.74,375
ETH/5-40,QuikLok,Cables - Ethernet,40M - Digital EtherCon assembled cable for LAN connections - Black ,181.57,464
ETH/5-5,QuikLok,Cables - Ethernet,5M - Digital EtherCon assembled cable for LAN connections - Black,55.17,141
ETH/5-50,QuikLok,Cables - Ethernet,50M - Digital EtherCon assembled cable for LAN connections - Black ,221.48,566
MCR/611K-0.5,QuikLok,Cables - Microphone,0.5M - 3P Female XLR to 3P Male XLR,10.96,28
MCR/611K-1,QuikLok,Cables - Microphone,1M - 3P Female XLR to 3P Male XLR,11.74,30
MCR/611K-15,QuikLok,Cables - Microphone,15M - 3P Female XLR to 3P Male XLR,34.04,87
MCR/611K-2,QuikLok,Cables - Microphone,2M - 3P Female XLR to 3P Male XLR,13.3,34
MCR/611K-20,QuikLok,Cables - Microphone,20M - 3P Female XLR to 3P Male XLR,41.87,107
MCR/611K-3,QuikLok,Cables - Microphone,3M - 3P Female XLR to 3P Male XLR,14.48,37
MCR/611K-6,QuikLok,Cables - Microphone,6M - 3P Female XLR to 3P Male XLR,19.57,50
MCR/611K-9,QuikLok,Cables - Microphone,9M - 3P Female XLR to 3P Male XLR,24.65,63
MCR/612K-1,QuikLok,Cables - Microphone,1M - 6.3mm straight mono jack to 3P Female XLR,10.57,27
MCR/612K-2,QuikLok,Cables - Microphone,2M - 6.3mm straight mono jack to 3P Female XLR,11.74,30
MCR/612K-3,QuikLok,Cables - Microphone,3M - 6.3mm straight mono jack to 3P Female XLR,12.91,33
MCR/612K-6,QuikLok,Cables - Microphone,6M - 6.3mm straight mono jack to 3P Female XLR,17.22,44
MCR/612K-9,QuikLok,Cables - Microphone,9M - 6.3mm straight mono jack to 3P Female XLR,21.13,54
MCR/613K-1,QuikLok,Cables - Microphone,1M - 6.3mm straight mono jack to 3P Male XLR,11.35,29
MCR/613K-2,QuikLok,Cables - Microphone,2M - 6.3mm straight mono jack to 3P Male XLR,12.91,33
MCR/613K-3,QuikLok,Cables - Microphone,3M - 6.3mm straight mono jack to 3P Male XLR,14.48,37
MCR/613K-6,QuikLok,Cables - Microphone,6M - 6.3mm straight mono jack to 3P Male XLR,19.17,49
MCR/613K-9,QuikLok,Cables - Microphone,9M - 6.3mm straight mono jack to 3P Male XLR,24.26,62
MCR/614K-1,QuikLok,Cables - Microphone,1M - 6.3mm straight stereo jack to 3P Female XLR,12.13,31
MCR/614K-3,QuikLok,Cables - Microphone,3M - 6.3mm straight stereo jack to 3P Female XLR,15.65,40
MCR/614K-9,QuikLok,Cables - Microphone,9M - 6.3mm straight stereo jack to 3P Female XLR,24.65,63
MCR/615K-1,QuikLok,Cables - Microphone,1M - 6.3mm straight stereo jack to 3P Male XLR,12.13,31
MCR/615K-2,QuikLok,Cables - Microphone,2M - 6.3mm straight stereo jack to 3P Male XLR,13.7,35
MCR/615K-3,QuikLok,Cables - Microphone,3M - 6.3mm straight stereo jack to 3P Male XLR,15.65,40
MCR/615K-6,QuikLok,Cables - Microphone,6M - 6.3mm straight stereo jack to 3P Male XLR,20.35,52
MCR/615K-9,QuikLok,Cables - Microphone,9M - 6.3mm straight stereo jack to 3P Male XLR,25.43,65
RS/241,QuikLok,Rack Accessories,RS241 1-U rack ventilation panel,10.52,22
RS/242,QuikLok,Rack Accessories,RS242 2-U blank rack panel,14.83,31
RS/243,QuikLok,Rack Accessories,RS243 1-U rack panel with mounting holes for 12 XLR connectors,10.52,22
RS/245,QuikLok,Rack Accessories,RS245 1-U blank rack panel,10.52,22
RS/277,QuikLok,Rack Accessories,RS277 2-U rack ventilation panel,16.26,34
RS/281,QuikLok,Rack Accessories,RS281 1-U rack panel with mounting holes for 8 jack sockets (6.3mm)  ,10.52,22
RS/290,QuikLok,Rack Accessories,RS290 1-U rack panel with mounting holes for 6 XLR connectors,11,23
RS/292,QuikLok,Rack Accessories,RS292 1-U rack panel with mounting holes for 8 XLR connectors,11,23
RS/293,QuikLok,Rack Accessories,RS293 1-U rack panel with mounting holes for 8 XLR connectors & rear lacing bar,17.7,37
RS/296,QuikLok,Rack Accessories,RS296 2-U rack panel with mounting holes for 32 XLR connectors & rear lacing bar,29.65,62
RS/299,QuikLok,Rack Accessories,RS299 Hide cover for XLR panel,1.91,4
RS/660,QuikLok,Rack Accessories,RS660 1-U rack shelf - Black ,47.35,99
RS/670,QuikLok,Rack Accessories,RS670 2-U rack drawer - Black,118.13,247
RS/671,QuikLok,Rack Accessories,RS671 3-U rack drawer - Black,137.26,287
RS/673,QuikLok,Rack Accessories,RS673 1-U pre-drilled universal rack shelf - Black ,41.13,86
S/396K-10,QuikLok,Cables - Power Signal,10M - Signal / Power cable with XLR 3-pole cable mount female socket & 240v plug to XLR 3-pole cable mount male plug & IEC standard 3-pole cable mount socket,158.48,405
S/396K-15,QuikLok,Cables - Power Signal,15M - Signal / Power cable with XLR 3-pole cable mount female socket & 240v plug to XLR 3-pole cable mount male plug & IEC standard 3-pole cable mount socket,220.3,563
S/396K-20,QuikLok,Cables - Power Signal,20M - Signal / Power cable with XLR 3-pole cable mount female socket & 240v plug to XLR 3-pole cable mount male plug & IEC standard 3-pole cable mount socket,279,713
S/396K-5,QuikLok,Cables - Power Signal,5M - Signal / Power cable with XLR 3-pole cable mount female socket & 240v plug to XLR 3-pole cable mount male plug & IEC standard 3-pole cable mount socket,92.74,237
STR/601K-1,QuikLok,Cables - Instrument,1M - 6.3mm straight mono jack to 6.3mm straight mono jack,11.35,29
STR/601K-3,QuikLok,Cables - Instrument,3M - 6.3mm straight mono jack to 6.3mm straight mono jack,14.09,36
STR/601K-4.5,QuikLok,Cables - Instrument,4.5M - 6.3mm straight mono jack to 6.3mm straight mono jack,16.43,42
STR/601K-6,QuikLok,Cables - Instrument,6M - 6.3mm straight mono jack to 6.3mm straight mono jack,18.78,48
STR/601K-9,QuikLok,Cables - Instrument,9M - 6.3mm straight mono jack to 6.3mm straight mono jack,23.48,60
STR/602K-1,QuikLok,Cables - Instrument,1M - 6.3mm straight stereo jack to 6.3mm straight stereo jack,13.7,35
STR/602K-2,QuikLok,Cables - Instrument,2M - 6.3mm straight stereo jack to 6.3mm straight stereo jack,15.65,40
STR/602K-3,QuikLok,Cables - Instrument,3M - 6.3mm straight stereo jack to 6.3mm straight stereo jack,16.83,43
STR/602K-4.5,QuikLok,Cables - Instrument,4.5M - 6.3mm straight stereo jack to 6.3mm straight stereo jack,18.78,48
STR/603K-3,QuikLok,Cables - Instrument,3M - 6.3mm straight mono jack to 6.3mm right angle mono jack,16.83,43
STR/603K-6,QuikLok,Cables - Instrument,6M - 6.3mm straight mono jack to 6.3mm right angle mono jack,21.52,55
STR/603K-9,QuikLok,Cables - Instrument,9M - 6.3mm straight mono jack to 6.3mm right angle mono jack,25.83,66
STR/604K-0.2,QuikLok,Cables - Instrument,20cm Instrument patch cable - mono 6.3mm right angle jack to mono 6.3mm right angle jack,14.09,36
STR/604K-0.5,QuikLok,Cables - Instrument,20cm Instrument patch cable - mono 6.3mm right angle jack to mono 6.3mm right angle jack,14.09,36
STR/605K-2,QuikLok,Cables - Adaptor,2M - 2 x Mono 6.3mm jack plugs to Stereo 6.3mm jack plug,16.83,43
STR/605K-3,QuikLok,Cables - Adaptor,3M - 2 x Mono 6.3mm jack plugs to Stereo 6.3mm jack plug,18.39,47
STR/605K-5,QuikLok,Cables - Adaptor,5M - 2 x Mono 6.3mm jack plugs to Stereo 6.3mm jack plug,21.52,55
STR/606K-1,QuikLok,Cables - Adaptor,1M - 3.5mm straight stereo jack to 6.3mm straight stereo jack,12.13,31
STR/606K-3,QuikLok,Cables - Adaptor,3M - 3.5mm straight stereo jack to 6.3mm straight stereo jack,14.09,36
STR/606K-5,QuikLok,Cables - Adaptor,5M - 3.5mm straight stereo jack to 6.3mm straight stereo jack,16.43,42
STR/607K-1,QuikLok,Cables - Adaptor,1M - 6.3mm straight stereo jack to 2 x RCA jacks,14.48,37
STR/607K-3,QuikLok,Cables - Adaptor,3M - 6.3mm straight stereo jack to 2 x RCA jacks,18,46
STR/607K-5,QuikLok,Cables - Adaptor,5M - 6.3mm straight stereo jack to 2 x RCA jacks,20.74,53
STR/608K-1,QuikLok,Cables - Adaptor,1M - 3.5mm straight stereo jack to 3.5mm straight stereo jack,10.96,28
STR/608K-3,QuikLok,Cables - Adaptor,3M - 3.5mm straight stereo jack to 3.5mm straight stereo jack,12.91,33
STR/608K-5,QuikLok,Cables - Adaptor,5M - 3.5mm straight stereo jack to 3.5mm straight stereo jack,14.48,37
STR/611K-1,QuikLok,Cables - Adaptor,1M - 3.5mm straight stereo jack to 2 x 6.3mm straight mono jacks,15.65,40
STR/611K-3,QuikLok,Cables - Adaptor,3M - 3.5mm straight stereo jack to 2 x 6.3mm straight mono jacks,18.78,48
STR/611K-5,QuikLok,Cables - Adaptor,5M - 3.5mm straight stereo jack to 2 x 6.3mm straight mono jacks,21.91,56
STR/612K-1,QuikLok,Cables - Adaptor,1M - 3.5mm straight stereo jack to 2 x RCA jacks,16.04,41
STR/612K-3,QuikLok,Cables - Adaptor,3M - 3.5mm straight stereo jack to 2 x RCA jacks,19.17,49
STR/612K-5,QuikLok,Cables - Adaptor,5M - 3.5mm straight stereo jack to 2 x RCA jacks,21.91,56
STR/613K-3,QuikLok,Cables - Adaptor,3M - 2 x RCA jacks to 2 x RCA jacks,20.74,53
STR/613K-5,QuikLok,Cables - Adaptor,5M - 2 x RCA jacks to 2 x RCA jacks,23.87,61
FP6020-II,Secret Sound,Speakers - Parabolic Speaker,"AOR Twin 1"" high-excursion drivers (stereo) with 20"" (514 mm) Dual- Parabolic™ dome, 8 Ohm stereo/4 or 16 Ohm mono. Selectable high pass filter, 15' hardwire lead and mounting hardware included",1064.61,"1,749.00"
FP6030-II,Secret Sound,Speakers - Parabolic Speaker,"AOR Twin 1"" high-excursion drivers (stereo) with 30"" (781 mm) Dual- Parabolic™ dome, 8 Ohm stereo/4 or 16 Ohm mono. Selectable high pass filter, 15' hardwire lead and mounting hardware included",1220.43,"2,005.00"
FP-Light,Secret Sound,Speakers - Parabolic Speaker,"AOR FP LED light add-on module. Comes pre-installed in the FP pod. Includes local LED output control or can be controlled globally via external control system (e.g. Lutron, AMX, Crestron). Requires external 12-15V power supply (see accessory options below). One power supply will run multiple accessory items. Must be ordered with an FP speaker. Add price.",575.83,946
FP-Motion,Secret Sound,Speakers - Parabolic Speaker,"AOR FP Motion sensor add-on module.  Comes pre-installed in the FP pod.  Includes infrared sensor, wide and narrow aperture lenses and timer delay.  Requires external 12-15V power supply (see accessory options below). One power supply will run multiple accessory items. Must be ordered with an FP speaker. Add price.",665.3,"1,093.00"
PEM-D,Secret Sound,Speakers - SolidDrive,AOR Passive Equalization Module for use on a desktop surface. Modules are optional. One module can equalize a single SolidDrive unit,97.39,160
PEM-G,Secret Sound,Speakers - SolidDrive,AOR Passive Equalization Module for use on a glass surface. Modules are optional. One module can equalize a single SolidDrive unit,97.39,160
PEM-W,Secret Sound,Speakers - SolidDrive,AOR Passive Equalization Module for use on a wood surface. Modules are optional. One module can equalize a single SolidDrive unit,97.39,160
SA502,Secret Sound,Speakers - SolidDrive,"2 x 50 watt class D amplifier. Three operating modes: stereo, dual mono, or bridged mono. Three user selectable inputs: balanced stereo (Euroblock), stereo unbalanced mini jack, or high level Euroblock. Auto on and 12v input trigger. Volume control, full range or high-pass filter. Power supply included",563.04,925
SB335,Secret Sound,Speakers - SolidDrive,"AOR This small 3-channel amplifier offers discreet, versatile amplification for digital signage, museum, education or corporate applications. Use it to power a soundbar or up to 3 speakers. The SB335 provides 35 watts per channel output at 8 ohms (3 channels) or 50 watts per channel in 2 channel mode. It includes IR learning for volume control via a TV remote, Bluetooth® connectivity, Dolby Digital® decoding and RS232 volume control. 2 Channel operation – 50 watts @ 8 ohms, 55 watts @ 4 ohms.  3 Channel operation – 35 watts @ 8 ohms, 40 watts @ 4 ohms",722.52,"1,187.00"
